"data e hora","caso de teste","mensagem"
"[2021/09/26 19:33:55.230]","Consultar Curso Mantis","Iniciou o teste"
"[2021/09/26 19:33:58.803]","Consultar Curso Mantis","Abriu o site"
"[2021/09/26 19:33:59.087]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/09/26 19:33:59.125]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/09/26 19:33:59.196]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/09/26 19:34:00.975]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/09/26 19:34:01.003]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/09/26 19:34:03.012]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/09/26 19:34:03.043]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/09/26 19:34:03.073]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/09/26 19:34:03.393]","Consultar Curso Mantis","Concluiu o teste"
